,Accession,Geo_Location,s-gene_location,gene_length,protein_id,protein_length
769,MT385455,USA,[21551:25373](+),3822.0,QJE38702.1,1273.0
770,MT385456,USA,[21550:25372](+),3822.0,QJE38714.1,1273.0
771,MT385457,USA,[21550:25372](+),3822.0,QJE38726.1,1273.0
772,MT385458,USA,[21549:25371](+),3822.0,QJE38738.1,1273.0
773,MT385459,USA,[21549:25371](+),3822.0,QJE38750.1,1273.0
774,MT385460,USA,[21550:25372](+),3822.0,QJE38762.1,1273.0
775,MT385461,USA,[21548:25370](+),3822.0,QJE38774.1,1273.0
776,MT385462,USA,[21546:25368](+),3822.0,QJE38786.1,1273.0
777,MT385463,USA,[21550:25372](+),3822.0,QJE38798.1,1273.0
778,MT385464,USA,[21546:25368](+),3822.0,QJE38810.1,1273.0
779,MT385465,USA,[21549:25371](+),3822.0,QJE38822.1,1273.0
780,MT385466,USA,[21546:25368](+),3822.0,QJE38834.1,1273.0
781,MT385467,USA,[21540:25362](+),3822.0,QJE38846.1,1273.0
782,MT385468,USA,[21548:25370](+),3822.0,QJE38858.1,1273.0
783,MT385469,USA,[21547:25369](+),3822.0,QJE38870.1,1273.0
784,MT385470,USA,[21548:25370](+),3822.0,QJE38882.1,1273.0
785,MT385471,USA,[21550:25372](+),3822.0,QJE38894.1,1273.0
786,MT385472,USA,[21546:25368](+),3822.0,QJE38906.1,1273.0
787,MT385473,USA,[21546:25368](+),3822.0,QJE38918.1,1273.0
788,MT385474,USA,[21546:25368](+),3822.0,QJE38930.1,1273.0
789,MT385475,USA,[21549:25371](+),3822.0,QJE38942.1,1273.0
790,MT385476,USA,[21546:25368](+),3822.0,QJE38954.1,1273.0
791,MT385477,USA,[21546:25368](+),3822.0,QJE38966.1,1273.0
792,MT385478,USA,[21545:25367](+),3822.0,QJE38978.1,1273.0
793,MT385479,USA,[21547:25369](+),3822.0,QJE38990.1,1273.0
794,MT385480,USA,[21546:25368](+),3822.0,QJE39002.1,1273.0
795,MT385481,USA,[21546:25368](+),3822.0,QJE39014.1,1273.0
796,MT385482,USA,[21548:25370](+),3822.0,QJE39026.1,1273.0
797,MT385483,USA,[21544:25366](+),3822.0,QJE39038.1,1273.0
798,MT385484,USA,[21538:25360](+),3822.0,QJE39050.1,1273.0
799,MT385485,USA,[21545:25367](+),3822.0,QJE39062.1,1273.0
800,MT385486,USA,[21551:25373](+),3822.0,QJE39074.1,1273.0
801,MT385487,USA,[21546:25368](+),3822.0,QJE39085.1,1273.0
802,MT385488,USA,[21546:25368](+),3822.0,QJE39097.1,1273.0
803,MT385489,USA,[21541:25363](+),3822.0,QJE39109.1,1273.0
804,MT385490,USA,[21537:25359](+),3822.0,QJE39121.1,1273.0
805,MT385491,USA,[21547:25369](+),3822.0,QJE39133.1,1273.0
806,MT385492,USA,[21541:25363](+),3822.0,QJE39145.1,1273.0
808,MT385494,USA,[21534:25356](+),3822.0,QJE39169.1,1273.0
809,MT385495,USA,[21541:25363](+),3822.0,QJE39181.1,1273.0
810,MT385496,USA,[21547:25369](+),3822.0,QJE39193.1,1273.0
811,MT385497,USA,[21542:25364](+),3822.0,QJE39205.1,1273.0
812,MT186683,Hong Kong,[21562:25384](+),3822.0,QIK02132.1,1273.0
813,MT252677,USA,[21544:25366](+),3822.0,QJD47919.1,1273.0
814,MT252678,USA,[21513:25335](+),3822.0,QJD47931.1,1273.0
815,MT252679,USA,[21530:25352](+),3822.0,QJD47943.1,1273.0
816,MT252680,USA,[21511:25333](+),3822.0,QJD47955.1,1273.0
817,MT252681,USA,[21438:25260](+),3822.0,QJD47967.1,1273.0
818,MT252682,USA,[21531:25353](+),3822.0,QJD47979.1,1273.0
819,MT252683,USA,[21436:25258](+),3822.0,QJD47991.1,1273.0
820,MT252684,USA,[21489:25311](+),3822.0,QJD48003.1,1273.0
821,MT252685,USA,[21487:25309](+),3822.0,QJD48015.1,1273.0
822,MT252686,USA,[21479:25301](+),3822.0,QJD48027.1,1273.0
823,MT252687,USA,[21513:25335](+),3822.0,QJD48039.1,1273.0
824,MT252688,USA,[21562:25384](+),3822.0,QJD48051.1,1273.0
825,MT252689,USA,[21474:25296](+),3822.0,QJD48063.1,1273.0
826,MT252690,USA,[21511:25333](+),3822.0,QJD48075.1,1273.0
827,MT252691,USA,[21488:25310](+),3822.0,QJD48087.1,1273.0
828,MT252692,USA,[21265:25087](+),3822.0,QJD48099.1,1273.0
829,MT252693,USA,[21479:25301](+),3822.0,QJD48111.1,1273.0
830,MT252694,USA,[21511:25333](+),3822.0,QJD48123.1,1273.0
831,MT252695,USA,[21488:25310](+),3822.0,QJD48135.1,1273.0
832,MT252696,USA,[21500:25322](+),3822.0,QJD48147.1,1273.0
833,MT252697,USA,[21534:25356](+),3822.0,QJD48159.1,1273.0
834,MT252698,USA,[21528:25350](+),3822.0,QJD48171.1,1273.0
835,MT252699,USA,[21488:25310](+),3822.0,QJD48183.1,1273.0
836,MT252700,USA,[21488:25310](+),3822.0,QJD48195.1,1273.0
837,MT252701,USA,[21436:25258](+),3822.0,QJD48207.1,1273.0
838,MT252702,USA,[21561:25383](+),3822.0,QJD48219.1,1273.0
839,MT252703,USA,[21488:25310](+),3822.0,QJD48231.1,1273.0
840,MT252704,USA,[21485:25307](+),3822.0,QJD48243.1,1273.0
841,MT252705,USA,[21488:25310](+),3822.0,QJD48255.1,1273.0
842,MT252706,USA,[21474:25296](+),3822.0,QJD48267.1,1273.0
843,MT252707,USA,[21547:25369](+),3822.0,QJD48279.1,1273.0
844,MT252708,USA,[21488:25310](+),3822.0,QJD48291.1,1273.0
845,MT252709,USA,[21456:25278](+),3822.0,QJD48303.1,1273.0
846,MT252710,USA,[21544:25366](+),3822.0,QJD48315.1,1273.0
847,MT252711,USA,[21404:25226](+),3822.0,QJD48327.1,1273.0
848,MT252712,USA,[21477:25299](+),3822.0,QJD48339.1,1273.0
849,MT252713,USA,[21511:25333](+),3822.0,QJD48351.1,1273.0
850,MT252715,USA,[21488:25310](+),3822.0,QJD48363.1,1273.0
851,MT252716,USA,[21534:25356](+),3822.0,QJD48375.1,1273.0
852,MT252717,USA,[21534:25356](+),3822.0,QJD48387.1,1273.0
853,MT252719,USA,[21555:25377](+),3822.0,QJD48399.1,1273.0
854,MT252721,USA,[21464:25286](+),3822.0,QJD48411.1,1273.0
855,MT252723,USA,[21522:25344](+),3822.0,QJD48423.1,1273.0
856,MT252725,USA,[21478:25300](+),3822.0,QJD48435.1,1273.0
857,MT252726,USA,[21488:25310](+),3822.0,QJD48447.1,1273.0
858,MT252728,USA,[21524:25346](+),3822.0,QJD48459.1,1273.0
859,MT252729,USA,[21531:25353](+),3822.0,QJD48471.1,1273.0
860,MT252730,USA,[21424:25246](+),3822.0,QJD48483.1,1273.0
861,MT252733,USA,[21488:25310](+),3822.0,QJD48495.1,1273.0
862,MT252734,USA,[21446:25268](+),3822.0,QJD48507.1,1273.0
863,MT252735,USA,[21531:25353](+),3822.0,QJD48519.1,1273.0
864,MT252736,USA,[21528:25350](+),3822.0,QJD48531.1,1273.0
865,MT252737,USA,[21455:25277](+),3822.0,QJD48543.1,1273.0
866,MT252738,USA,[21530:25352](+),3822.0,QJD48555.1,1273.0
867,MT252739,USA,[21531:25353](+),3822.0,QJD48567.1,1273.0
868,MT252740,USA,[21488:25310](+),3822.0,QJD48579.1,1273.0
869,MT252741,USA,[21539:25361](+),3822.0,QJD48591.1,1273.0
870,MT252742,USA,[21555:25377](+),3822.0,QJD48603.1,1273.0
871,MT252745,USA,[21551:25373](+),3822.0,QJD48615.1,1273.0
872,MT252746,USA,[21531:25353](+),3822.0,QJD48627.1,1273.0
873,MT252747,USA,[21531:25353](+),3822.0,QJD48639.1,1273.0
874,MT252748,USA,[21555:25377](+),3822.0,QJD48651.1,1273.0
875,MT252749,USA,[21488:25310](+),3822.0,QJD48663.1,1273.0
876,MT252756,USA,[21488:25310](+),3822.0,QJD48675.1,1273.0
877,MT252757,USA,[21528:25350](+),3822.0,QJD48687.1,1273.0
878,MT252758,USA,[21487:25309](+),3822.0,QJD48699.1,1273.0
879,MT252761,USA,[21502:25324](+),3822.0,QJD48711.1,1273.0
880,MT252763,USA,[21531:25353](+),3822.0,QJD48723.1,1273.0
881,MT252764,USA,[21531:25353](+),3822.0,QJD48735.1,1273.0
882,MT252765,USA,[21488:25310](+),3822.0,QJD48747.1,1273.0
883,MT252766,USA,[21424:25246](+),3822.0,QJD48759.1,1273.0
884,MT252767,USA,[21531:25353](+),3822.0,QJD48771.1,1273.0
885,MT252768,USA,[21485:25307](+),3822.0,QJD48783.1,1273.0
886,MT252769,USA,[21554:25376](+),3822.0,QJD48795.1,1273.0
887,MT252770,USA,[21528:25350](+),3822.0,QJD48807.1,1273.0
888,MT252771,USA,[21305:25127](+),3822.0,QJD48819.1,1273.0
889,MT252772,USA,[21520:25342](+),3822.0,QJD48831.1,1273.0
890,MT252773,USA,[21390:25212](+),3822.0,QJD48843.1,1273.0
891,MT252774,USA,[21556:25378](+),3822.0,QJD48855.1,1273.0
892,MT252775,USA,[21488:25310](+),3822.0,QJD48867.1,1273.0
893,MT252778,USA,[21488:25310](+),3822.0,QJD48879.1,1273.0
894,MT252779,USA,[21554:25376](+),3822.0,QJD48891.1,1273.0
895,MT252780,USA,[21557:25379](+),3822.0,QJD48903.1,1273.0
896,MT252781,USA,[21520:25342](+),3822.0,QJD48915.1,1273.0
897,MT252782,USA,[21517:25339](+),3822.0,QJD48927.1,1273.0
898,MT252783,USA,[21562:25384](+),3822.0,QJD48939.1,1273.0
899,MT252784,USA,[21561:25383](+),3822.0,QJD48951.1,1273.0
900,MT252785,USA,[21531:25353](+),3822.0,QJD48963.1,1273.0
901,MT252787,USA,[21431:25253](+),3822.0,QJD48975.1,1273.0
902,MT252788,USA,[21488:25310](+),3822.0,QJD48987.1,1273.0
903,MT252792,USA,[21511:25333](+),3822.0,QJD48999.1,1273.0
904,MT252793,USA,[21556:25378](+),3822.0,QJD49011.1,1273.0
905,MT252794,USA,[21546:25368](+),3822.0,QJD49023.1,1273.0
906,MT252795,USA,[21531:25353](+),3822.0,QJD49035.1,1273.0
907,MT252797,USA,[21555:25377](+),3822.0,QJD49047.1,1273.0
908,MT252798,USA,[21511:25333](+),3822.0,QJD49059.1,1273.0
909,MT252799,USA,[21537:25359](+),3822.0,QJD49071.1,1273.0
910,MT252800,USA,[21512:25334](+),3822.0,QJD49083.1,1273.0
911,MT252801,USA,[21341:25163](+),3822.0,QJD49095.1,1273.0
912,MT252802,USA,[21501:25323](+),3822.0,QJD49107.1,1273.0
913,MT252803,USA,[21431:25253](+),3822.0,QJD49119.1,1273.0
914,MT252804,USA,[21531:25353](+),3822.0,QJD49131.1,1273.0
915,MT252805,USA,[21537:25359](+),3822.0,QJD49143.1,1273.0
916,MT252806,USA,[21531:25353](+),3822.0,QJD49155.1,1273.0
917,MT252807,USA,[21531:25353](+),3822.0,QJD49167.1,1273.0
918,MT252808,USA,[21531:25353](+),3822.0,QJD49179.1,1273.0
919,MT252809,USA,[21324:25146](+),3822.0,QJD49191.1,1273.0
920,MT252810,USA,[21521:25343](+),3822.0,QJD49203.1,1273.0
921,MT252811,USA,[21329:25151](+),3822.0,QJD49215.1,1273.0
922,MT252821,USA,[21253:25075](+),3822.0,QJD49227.1,1273.0
923,MT252822,USA,[21414:25236](+),3822.0,QJD49239.1,1273.0
924,MT252823,USA,[21424:25246](+),3822.0,QJD49251.1,1273.0
925,MT252824,USA,[21501:25323](+),3822.0,QJD49263.1,1273.0
926,MT339043,USA,[21559:25381](+),3822.0,QJD47908.1,1273.0
927,MT365033,USA,[21556:25378](+),3822.0,QJD07688.1,1273.0
928,MT374101,Taiwan,[21562:25384](+),3822.0,QJD47718.1,1273.0
929,MT374102,Taiwan,[21560:25382](+),3822.0,QJD47728.1,1273.0
930,MT374103,Taiwan,[21551:25373](+),3822.0,QJD47740.1,1273.0
931,MT374104,Taiwan,[21562:25384](+),3822.0,QJD47752.1,1273.0
932,MT374105,Taiwan,[21560:25382](+),3822.0,QJD47764.1,1273.0
933,MT374106,Taiwan,[21560:25382](+),3822.0,QJD47776.1,1273.0
934,MT374107,Taiwan,[21561:25383](+),3822.0,QJD47788.1,1273.0
935,MT374108,Taiwan,[21560:25382](+),3822.0,QJD47800.1,1273.0
936,MT374109,Taiwan,[21559:25381](+),3822.0,QJD47812.1,1273.0
937,MT374110,Taiwan,[21559:25381](+),3822.0,QJD47824.1,1273.0
938,MT374111,Taiwan,[21562:25384](+),3822.0,QJD47836.1,1273.0
939,MT374112,Taiwan,[21560:25382](+),3822.0,QJD47848.1,1273.0
940,MT374113,Taiwan,[21558:25380](+),3822.0,QJD47860.1,1273.0
941,MT374114,Taiwan,[21560:25382](+),3822.0,QJD47872.1,1273.0
942,MT374115,Taiwan,[21558:25380](+),3822.0,QJD47884.1,1273.0
943,MT374116,Taiwan,[21560:25382](+),3822.0,QJD47896.1,1273.0
944,MT375428,USA,[21424:25246](+),3822.0,QJD47046.1,1273.0
945,MT375429,USA,[21392:25214](+),3822.0,QJD47058.1,1273.0
946,MT375430,USA,[21542:25364](+),3822.0,QJD47070.1,1273.0
947,MT375431,USA,[21549:25371](+),3822.0,QJD47082.1,1273.0
948,MT375432,USA,[21555:25377](+),3822.0,QJD47094.1,1273.0
949,MT375433,USA,[21531:25353](+),3822.0,QJD47106.1,1273.0
950,MT375434,USA,[21513:25335](+),3822.0,QJD47118.1,1273.0
951,MT375435,USA,[21371:25193](+),3822.0,QJD47130.1,1273.0
952,MT375436,USA,[21515:25337](+),3822.0,QJD47142.1,1273.0
953,MT375437,USA,[21536:25358](+),3822.0,QJD47154.1,1273.0
954,MT375438,USA,[21531:25353](+),3822.0,QJD47166.1,1273.0
955,MT375439,USA,[21385:25207](+),3822.0,QJD47178.1,1273.0
956,MT375440,USA,[21532:25354](+),3822.0,QJD47190.1,1273.0
957,MT375441,USA,[21536:25358](+),3822.0,QJD47202.1,1273.0
958,MT375442,USA,[21529:25351](+),3822.0,QJD47214.1,1273.0
959,MT375443,USA,[21513:25335](+),3822.0,QJD47226.1,1273.0
960,MT375444,USA,[21393:25215](+),3822.0,QJD47238.1,1273.0
961,MT375445,USA,[21531:25353](+),3822.0,QJD47250.1,1273.0
962,MT375446,USA,[21553:25375](+),3822.0,QJD47262.1,1273.0
963,MT375447,USA,[21559:25381](+),3822.0,QJD47274.1,1273.0
964,MT375448,USA,[21531:25353](+),3822.0,QJD47286.1,1273.0
965,MT375449,USA,[21531:25353](+),3822.0,QJD47298.1,1273.0
966,MT375450,USA,[21531:25353](+),3822.0,QJD47310.1,1273.0
967,MT375451,USA,[21531:25353](+),3822.0,QJD47322.1,1273.0
968,MT375452,USA,[21530:25352](+),3822.0,QJD47334.1,1273.0
969,MT375453,USA,[21544:25366](+),3822.0,QJD47346.1,1273.0
970,MT375454,USA,[21414:25236](+),3822.0,QJD47358.1,1273.0
971,MT375455,USA,[21550:25372](+),3822.0,QJD47370.1,1273.0
972,MT375456,USA,[21513:25335](+),3822.0,QJD47382.1,1273.0
973,MT375457,USA,[21436:25258](+),3822.0,QJD47394.1,1273.0
974,MT375458,USA,[21558:25380](+),3822.0,QJD47406.1,1273.0
975,MT375459,USA,[21552:25374](+),3822.0,QJD47418.1,1273.0
976,MT375460,USA,[21546:25368](+),3822.0,QJD47430.1,1273.0
977,MT375461,USA,[21526:25348](+),3822.0,QJD47442.1,1273.0
978,MT375462,USA,[21303:25125](+),3822.0,QJD47454.1,1273.0
979,MT375463,USA,[21531:25353](+),3822.0,QJD47466.1,1273.0
980,MT375464,USA,[21136:24958](+),3822.0,QJD47478.1,1273.0
981,MT375465,USA,[21503:25325](+),3822.0,QJD47490.1,1273.0
982,MT375466,USA,[21530:25352](+),3822.0,QJD47502.1,1273.0
983,MT375467,USA,[21388:25210](+),3822.0,QJD47514.1,1273.0
984,MT375468,USA,[21530:25352](+),3822.0,QJD47526.1,1273.0
985,MT375469,USA,[21305:25127](+),3822.0,QJD47538.1,1273.0
986,MT375470,USA,[21530:25352](+),3822.0,QJD47550.1,1273.0
987,MT375471,USA,[21303:25125](+),3822.0,QJD47562.1,1273.0
988,MT375472,USA,[21525:25347](+),3822.0,QJD47574.1,1273.0
989,MT375473,USA,[21264:25086](+),3822.0,QJD47586.1,1273.0
990,MT375474,USA,[21549:25371](+),3822.0,QJD47598.1,1273.0
991,MT375475,USA,[21208:25030](+),3822.0,QJD47610.1,1273.0
992,MT375476,USA,[21431:25253](+),3822.0,QJD47622.1,1273.0
993,MT375477,USA,[21419:25241](+),3822.0,QJD47634.1,1273.0
994,MT375478,USA,[21531:25353](+),3822.0,QJD47646.1,1273.0
995,MT375479,USA,[21530:25352](+),3822.0,QJD47658.1,1273.0
996,MT375480,USA,[21531:25353](+),3822.0,QJD47670.1,1273.0
997,MT375481,USA,[21556:25378](+),3822.0,QJD47682.1,1273.0
998,MT375482,USA,[21535:25357](+),3822.0,QJD47694.1,1273.0
999,MT375483,USA,[21555:25377](+),3822.0,QJD47706.1,1273.0
1000,MT370516,Taiwan,[21560:25382](+),3822.0,QJD20632.1,1273.0
1001,MT370517,Taiwan,[21559:25381](+),3822.0,QJD20644.1,1273.0
1002,MT370518,Taiwan,[21562:25384](+),3822.0,QJD20656.1,1273.0
1003,MT370831,USA,[21498:25320](+),3822.0,QJD23273.1,1273.0
1004,MT370832,USA,[21498:25320](+),3822.0,QJD23283.1,1273.0
1005,MT370833,USA,[21507:25329](+),3822.0,QJD23297.1,1273.0
1006,MT370834,USA,[21507:25329](+),3822.0,QJD23309.1,1273.0
1007,MT370835,USA,[21507:25329](+),3822.0,QJD23321.1,1273.0
1008,MT370836,USA,[21507:25329](+),3822.0,QJD23333.1,1273.0
1009,MT370837,USA,[21507:25329](+),3822.0,QJD23345.1,1273.0
1010,MT370838,USA,[21507:25329](+),3822.0,QJD23357.1,1273.0
1011,MT370839,USA,[21507:25329](+),3822.0,QJD23369.1,1273.0
1012,MT370840,USA,[21500:25322](+),3822.0,QJD23379.1,1273.0
1013,MT370841,USA,[21507:25329](+),3822.0,QJD23393.1,1273.0
1014,MT370842,USA,[21498:25320](+),3822.0,QJD23405.1,1273.0
1015,MT370843,USA,[21510:25332](+),3822.0,QJD23417.1,1273.0
1016,MT370844,USA,[21507:25329](+),3822.0,QJD23429.1,1273.0
1017,MT370845,USA,[21507:25329](+),3822.0,QJD23441.1,1273.0
1018,MT370846,USA,[21507:25329](+),3822.0,QJD23453.1,1273.0
1020,MT370848,USA,[21492:25314](+),3822.0,QJD23477.1,1273.0
1021,MT370849,USA,[21507:25329](+),3822.0,QJD23489.1,1273.0
1022,MT370850,USA,[21510:25332](+),3822.0,QJD23501.1,1273.0
1023,MT370851,USA,[21512:25334](+),3822.0,QJD23513.1,1273.0
1024,MT370852,USA,[21507:25329](+),3822.0,QJD23524.1,1273.0
1025,MT370853,USA,[21512:25334](+),3822.0,QJD23537.1,1273.0
1026,MT370854,USA,[21507:25329](+),3822.0,QJD23549.1,1273.0
1027,MT370855,USA,[21507:25329](+),3822.0,QJD23559.1,1273.0
1028,MT370856,USA,[21507:25329](+),3822.0,QJD23573.1,1273.0
1029,MT370857,USA,[21507:25329](+),3822.0,QJD23585.1,1273.0
1030,MT370858,USA,[21500:25322](+),3822.0,QJD23597.1,1273.0
1031,MT370859,USA,[21503:25325](+),3822.0,QJD23609.1,1273.0
1032,MT370860,USA,[21507:25329](+),3822.0,QJD23621.1,1273.0
1033,MT370861,USA,[21507:25329](+),3822.0,QJD23633.1,1273.0
1034,MT370862,USA,[21507:25329](+),3822.0,QJD23645.1,1273.0
1035,MT370863,USA,[21503:25325](+),3822.0,QJD23657.1,1273.0
1036,MT370864,USA,[21507:25329](+),3822.0,QJD23669.1,1273.0
1037,MT370865,USA,[21507:25329](+),3822.0,QJD23681.1,1273.0
1038,MT370866,USA,[21507:25329](+),3822.0,QJD23693.1,1273.0
1039,MT370867,USA,[21507:25329](+),3822.0,QJD23704.1,1273.0
1040,MT370868,USA,[21507:25329](+),3822.0,QJD23717.1,1273.0
1041,MT370869,USA,[21507:25329](+),3822.0,QJD23729.1,1273.0
1042,MT370870,USA,[21507:25329](+),3822.0,QJD23741.1,1273.0
1043,MT370871,USA,[21507:25329](+),3822.0,QJD23753.1,1273.0
1044,MT370872,USA,[21513:25335](+),3822.0,QJD23765.1,1273.0
1045,MT370873,USA,[21507:25329](+),3822.0,QJD23775.1,1273.0
1046,MT370874,USA,[21507:25329](+),3822.0,QJD23789.1,1273.0
1047,MT370875,USA,[21507:25329](+),3822.0,QJD23801.1,1273.0
1048,MT370876,USA,[21507:25329](+),3822.0,QJD23813.1,1273.0
1049,MT370877,USA,[21507:25329](+),3822.0,QJD23825.1,1273.0
1050,MT370878,USA,[21507:25329](+),3822.0,QJD23837.1,1273.0
1051,MT370879,USA,[21509:25331](+),3822.0,QJD23847.1,1273.0
1052,MT370880,USA,[21507:25329](+),3822.0,QJD23861.1,1273.0
1053,MT370881,USA,[21507:25329](+),3822.0,QJD23873.1,1273.0
1054,MT370882,USA,[21507:25329](+),3822.0,QJD23885.1,1273.0
1055,MT370883,USA,[21499:25321](+),3822.0,QJD23897.1,1273.0
1056,MT370884,USA,[21498:25320](+),3822.0,QJD23907.1,1273.0
1057,MT370885,USA,[21507:25329](+),3822.0,QJD23921.1,1273.0
1058,MT370886,USA,[21507:25329](+),3822.0,QJD23933.1,1273.0
1059,MT370887,USA,[21507:25329](+),3822.0,QJD23944.1,1273.0
1060,MT370888,USA,[21513:25335](+),3822.0,QJD23957.1,1273.0
1061,MT370889,USA,[21507:25329](+),3822.0,QJD23969.1,1273.0
1062,MT370890,USA,[21507:25329](+),3822.0,QJD23981.1,1273.0
1063,MT370891,USA,[21507:25329](+),3822.0,QJD23993.1,1273.0
1064,MT370892,USA,[21507:25329](+),3822.0,QJD24005.1,1273.0
1065,MT370893,USA,[21545:25367](+),3822.0,QJD24015.1,1273.0
1066,MT370894,USA,[21507:25329](+),3822.0,QJD24029.1,1273.0
1067,MT370895,USA,[21507:25329](+),3822.0,QJD24041.1,1273.0
1068,MT370896,USA,[21499:25321](+),3822.0,QJD24053.1,1273.0
1069,MT370897,USA,[21507:25329](+),3822.0,QJD24065.1,1273.0
1070,MT370898,USA,[21502:25324](+),3822.0,QJD24077.1,1273.0
1071,MT370899,USA,[21507:25329](+),3822.0,QJD24089.1,1273.0
1072,MT370900,USA,[21507:25329](+),3822.0,QJD24099.1,1273.0
1073,MT370901,USA,[21507:25329](+),3822.0,QJD24113.1,1273.0
1074,MT370902,USA,[21507:25329](+),3822.0,QJD24125.1,1273.0
1075,MT370903,USA,[21507:25329](+),3822.0,QJD24137.1,1273.0
1076,MT370904,USA,[21498:25320](+),3822.0,QJD24149.1,1273.0
1077,MT370905,USA,[21507:25329](+),3822.0,QJD24161.1,1273.0
1078,MT370906,USA,[21507:25329](+),3822.0,QJD24173.1,1273.0
1079,MT370907,USA,[21498:25320](+),3822.0,QJD24185.1,1273.0
1080,MT370908,USA,[21502:25324](+),3822.0,QJD24197.1,1273.0
1081,MT370909,USA,[21512:25334](+),3822.0,QJD24209.1,1273.0
1082,MT370910,USA,[21498:25320](+),3822.0,QJD24219.1,1273.0
1083,MT370911,USA,[21510:25332](+),3822.0,QJD24233.1,1273.0
1084,MT370912,USA,[21507:25329](+),3822.0,QJD24245.1,1273.0
1085,MT370913,USA,[21507:25329](+),3822.0,QJD24257.1,1273.0
1086,MT370914,USA,[21502:25324](+),3822.0,QJD24269.1,1273.0
1087,MT370915,USA,[21507:25329](+),3822.0,QJD24281.1,1273.0
1088,MT370916,USA,[21501:25323](+),3822.0,QJD24293.1,1273.0
1089,MT370917,USA,[21500:25322](+),3822.0,QJD24305.1,1273.0
1090,MT370918,USA,[21507:25329](+),3822.0,QJD24315.1,1273.0
1091,MT370919,USA,[21507:25329](+),3822.0,QJD24329.1,1273.0
1092,MT370920,USA,[21507:25329](+),3822.0,QJD24341.1,1273.0
1093,MT370921,USA,[21498:25320](+),3822.0,QJD24353.1,1273.0
1094,MT370922,USA,[21498:25320](+),3822.0,QJD24365.1,1273.0
1095,MT370923,USA,[21507:25329](+),3822.0,QJD24377.1,1273.0
1096,MT370924,USA,[21501:25323](+),3822.0,QJD24389.1,1273.0
1097,MT370925,USA,[21530:25352](+),3822.0,QJD24401.1,1273.0
1098,MT370926,USA,[21499:25321](+),3822.0,QJD24413.1,1273.0
1099,MT370927,USA,[21503:25325](+),3822.0,QJD24425.1,1273.0
1100,MT370928,USA,[21510:25332](+),3822.0,QJD24436.1,1273.0
1101,MT370929,USA,[21498:25320](+),3822.0,QJD24448.1,1273.0
1102,MT370930,USA,[21499:25321](+),3822.0,QJD24461.1,1273.0
1103,MT370931,USA,[21500:25322](+),3822.0,QJD24473.1,1273.0
1104,MT370932,USA,[21507:25329](+),3822.0,QJD24485.1,1273.0
1105,MT370933,USA,[21498:25320](+),3822.0,QJD24497.1,1273.0
1106,MT370934,USA,[21507:25329](+),3822.0,QJD24509.1,1273.0
1107,MT370935,USA,[21500:25322](+),3822.0,QJD24521.1,1273.0
1108,MT370936,USA,[21498:25320](+),3822.0,QJD24531.1,1273.0
1109,MT370937,USA,[21521:25343](+),3822.0,QJD24545.1,1273.0
1110,MT370938,USA,[21498:25320](+),3822.0,QJD24557.1,1273.0
1111,MT370939,USA,[21498:25320](+),3822.0,QJD24569.1,1273.0
1112,MT370940,USA,[21507:25329](+),3822.0,QJD24581.1,1273.0
1113,MT370941,USA,[21498:25320](+),3822.0,QJD24593.1,1273.0
1114,MT370942,USA,[21499:25321](+),3822.0,QJD24605.1,1273.0
1115,MT370943,USA,[21507:25329](+),3822.0,QJD24617.1,1273.0
1116,MT370944,USA,[21522:25344](+),3822.0,QJD24629.1,1273.0
1117,MT370945,USA,[21498:25320](+),3822.0,QJD24639.1,1273.0
1118,MT370946,USA,[21498:25320](+),3822.0,QJD24653.1,1273.0
1119,MT370947,USA,[21499:25321](+),3822.0,QJD24665.1,1273.0
1120,MT370948,USA,[21513:25335](+),3822.0,QJD24677.1,1273.0
1121,MT370949,USA,[21500:25322](+),3822.0,QJD24689.1,1273.0
1122,MT370950,USA,[21515:25337](+),3822.0,QJD24701.1,1273.0
1123,MT370951,USA,[21498:25320](+),3822.0,QJD24713.1,1273.0
1124,MT370952,USA,[21500:25322](+),3822.0,QJD24725.1,1273.0
1125,MT370953,USA,[21507:25329](+),3822.0,QJD24737.1,1273.0
1126,MT370954,USA,[21500:25322](+),3822.0,QJD24749.1,1273.0
1127,MT370955,USA,[21498:25320](+),3822.0,QJD24769.1,1273.0
1128,MT370956,USA,[21500:25322](+),3822.0,QJD24773.1,1273.0
1129,MT370957,USA,[21498:25320](+),3822.0,QJD24785.1,1273.0
1130,MT370958,USA,[21507:25329](+),3822.0,QJD24797.1,1273.0
1131,MT370959,USA,[21498:25320](+),3822.0,QJD24809.1,1273.0
1132,MT370960,USA,[21498:25320](+),3822.0,QJD24821.1,1273.0
1133,MT370961,USA,[21500:25322](+),3822.0,QJD24833.1,1273.0
1134,MT370962,USA,[21507:25329](+),3822.0,QJD24845.1,1273.0
1135,MT370963,USA,[21433:25255](+),3822.0,QJD24857.1,1273.0
1136,MT370964,USA,[21507:25329](+),3822.0,QJD24869.1,1273.0
1137,MT370965,USA,[21550:25372](+),3822.0,QJD24881.1,1273.0
1138,MT370966,USA,[21515:25337](+),3822.0,QJD24893.1,1273.0
1139,MT370967,USA,[21507:25329](+),3822.0,QJD24905.1,1273.0
1140,MT370968,USA,[21498:25320](+),3822.0,QJD24917.1,1273.0
1141,MT370969,USA,[21498:25320](+),3822.0,QJD24929.1,1273.0
