,Metabolit,Part,Molecular Formula,Molecular Weight,CID Kanaya,CID Pubchem,Canonical SMILES,Referensi  Antivirus,Referensi  Antimalaria/Antiplasmodium,Referensi  Treatment Meningitis,enumerator,species,CID PubChem,Referensi,Akar,Batang,Daun,Bunga,Buah,Referensi kandungan,Referensi Kandungan,Biji,Essential oil,Cabang,sinonim,Referensi 1,Referensi 2,referensi 3 (part),Sinonim,Referensi 1 (Metabolite),Referensi 2 ,Referensi 3,Referensi 1 (metabolit),"Referensi 2 (3D, Smiles)"
1631,Gossypol,,C30H30O8,518.19406794,C00003136,3503,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1632,Helicquinone,,C15H14O4,258.08920894,C00020125,,,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1633,Kaempferol 5-glucoside,,C21H20O11,448.10056148,C00005143,74978064,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C=C(C=C3OC4C(C(C(C(O4)CO)O)O)O)O)O)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1634,Kaempferol-7-O-glucoside,,C21H20O11,448.10056148,C00005149,74414058,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)[O-])O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1635,Mansonone D,,C15H14O3,242.09429431,C00020119,3083888,CC1COC2=C1C3=C(C(=C2)C)C(=O)C(=O)C(=C3)C,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,Rahma (RN),Thespesia populnea,,,,v,,,,,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,,,,,,,,,,,
1636,Mansonone C,,C15H16O2,228.11502975,C00002840,21742,CC1=C2C(=C(C=C1)C(C)C)C=C(C(=O)C2=O)C,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1637,Mansonone E,,C15H14O3,242.09429431,C00020121,94303,CC1COC2=C(C(=O)C(=O)C3=C(C=CC1=C32)C)C,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1638,Mansonone F,,C15H12O3,240.07864425,C00020120,94304,CC1=C2C3=C(C=C1)C(=COC3=C(C(=O)C2=O)C)C,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1639,Mansonone G,,C15H16O3,244.10994438,C00020123,608583,CC1=CC2=C(C(=CC(=C2C(C)C)O)C)C(=O)C1=O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1640,mansonone H,,C15H14O4,258.27,,615515,CC1COC2=C(C(=O)C(=O)C3=C2C1=C(C=C3C)O)C,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,Rahma (RN),Thespesia populnea,,,,v,,,,,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,,,,,,,,,,,
1641,Mansonone M,,C16H16O4,272.104859,C00020126,14544217,CC1COC2=C(C(=O)C(=O)C3=C2C1=C(C=C3C)OC)C,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1642,Mansonone S,,C15H18O3,246.12559444,C00030730,21589522,CC1CC(=O)C(=C2C1=C(C(=O)C(=C2)C)O)C(C)C,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1643,Populene A,,C15H18O3,246.12559444,C00040050,102395448,CC1=CC2=C3C(=C1)OC=C3C(C(C2C(C)C)O)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1644,Populene B,,C15H18O3,246.12559444,C00040051,102395449,CC1=CC2=C3C(=C1)OC=C3C(C(C2C(C)C)O)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1645,Populene C,,C18H20O3,284.1412445,C00040052,24970696,CC1COC(C2=C1C3=C(C(=C2)C)C(=O)C(=O)C(=C3)C)(C)C,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1646,Populene D,,C18H24O3,288.17254463,C00040053,24970698,CC1CC2=C(C(COC2(C)C)C)C3=C1C(=C(C(=C3)C)O)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1647,Populene E,,C15H18O4,262.12050906,C00040054,102395450,CC1CC(=O)OC2=C(C(=CC(=C12)C(=O)C(C)C)C)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1648,Populene F,,C15H20O4,264.13615913,C00040055,24970697,CC1CC(OC2=C(C(=CC(=C12)C(=O)C(C)C)C)O)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1649,Populene G,,C15H18O5,278.11542369,C00040056,24970699,CC1CC(OC2=C1C3=C(C(=C2O)C)OCC(C3=O)C)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1650,Populene H,,C15H18O5,278.11542369,C00040057,102395451,CC1CC(OC2=C1C3=C(C(=C2O)C)OCC(C3=O)C)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1651,Quercetin 3-O-L-rhamnoside,,C21H20O11,448.10056148,C00005374,5353915,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1652,Thespesenone,,C15H12O4,256.07355887,C00043974,,,,,,Rahma (RN),Thespesia populnea,,,,,,,,,,,,,,,,,,,,,,
1653,Thespesone,,C15H14O4,258.08920894,C00020161,5321934,CC1COC2=C1C3=C(C(=C2)C)C(=O)C(=O)C(=C3O)C,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,Rahma (RN),Thespesia populnea,,,,v,,,,,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,,,,,,,,,,,
1654,Thespone,,C15H12O3,240.07864425,C00020162,5321935,CC1=CC2=C(C(=CC3=C2C(=CO3)C)C)C(=O)C1=O,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,Rahma (RN),Thespesia populnea,,,,v,,,,,https://www.tandfonline.com/doi/pdf/10.1080/10496475.2011.605514,,,,,,,,,,,,,
1655,Sterculinine I,,C18H20N2O6,360.4,,12112940,CCCCOC(=O)CC(C(=O)O)NC(=O)C1=CC(=O)NC2=CC=CC=C21,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1656,Sterculinine II,,C15H14N2O6,318.28,,12112941,COC(=O)CC(C(=O)O)NC(=O)C1=CC(=O)NC2=CC=CC=C21,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1657,kaempferol-3-O-beta-D-glucoside,,C21H20O11,448.4,,5282102,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1658,kaempferol-3-O-beta- D-rutinoside,,C27H30O15,594.5,,5318767,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1659,isorhamnetin-3-O-beta-D-rutinoside,,,,,,,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1660,"2,4-dihydroxybenzoic acid",,C7H6O4,154.12,,1491,C1=CC(=C(C=C1O)O)C(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1661,succinic acid,,C4H6O4,118.09,,1110,C(CC(=O)O)C(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1662,stearic acid,,C18H36O2,284.5,,5281,CCCCCCCCCCCCCCCCCC(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1663,palmitic acid,,C16H32O2,256.42,,985,CCCCCCCCCCCCCCCC(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1664,cludeoleic acid,,,,,,,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1665,linoleic acid,,C18H32O2,280.4,,5280450,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1666,palmitoleic acid,,C16H30O2,254.41,,445638,CCCCCCC=CCCCCCCCC(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1667,10-nonadecenoic acid,,C19H36O2,296.5,,5312512,CCCCCCCCC=CCCCCCCCCC(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1668,8-nonynoic acid,,C9H14O2,154.21,,35698,C#CCCCCCCC(=O)O,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1669,beta-sitosterol,,C29H50O,414.7,,222284,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1670,daucosterol,,C35H60O6,576.8,,5742590,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,,,,Rahma (RN),Scaphium affine,,,,,,,,,http://zgtryw.xml-journal.net/fileZGTRYW/journal/article/cjnm/2018/10/PDF/20181001.pdf,,,,,,,,,,,,,
1671,malayscaphiol,,,,,,,,,,Rahma (RN),Scaphium macropodum,,,,v,,,,,https://www.tandfonline.com/doi/abs/10.1080/14786419.2014.886211?mobileUi=0&journalCode=gnpl20,,,,,,,,,,,,,
1672,lupeol,,C30H50O,426.7,,259846,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,,,,Rahma (RN),Scaphium macropodum,,,,v,,,,,https://www.tandfonline.com/doi/abs/10.1080/14786419.2014.886211?mobileUi=0&journalCode=gnpl20,,,,,,,,,,,,,
1673,lupenone,,C30H48O,424.7,,92158,CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)C,,,,Rahma (RN),Scaphium macropodum,,,,v,,,,,https://www.tandfonline.com/doi/abs/10.1080/14786419.2014.886211?mobileUi=0&journalCode=gnpl20,,,,,,,,,,,,,
1674,stigmasterol ,,C29H48O,412.7,,5280794,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,,,,Rahma (RN),Scaphium macropodum,,,,v,,,,,https://www.tandfonline.com/doi/abs/10.1080/14786419.2014.886211?mobileUi=0&journalCode=gnpl20,,,,,,,,,,,,,
1675,1-Methyl-trans-decahydroquinol-5(equat)-ol,,,,,,,,,,Rahma (RN),Scaphium macropodum,,,,v,,,,,https://iopscience.iop.org/article/10.1088/1755-1315/269/1/012043/pdf,,,,,,,,,,,,,
1676,Hexadecanoate,,C16H31O2-,255.42,,504166,CCCCCCCCCCCCCCCC(=O)[O-],,,,Rahma (RN),Scaphium macropodum,,,,v,,,,,https://iopscience.iop.org/article/10.1088/1755-1315/269/1/012043/pdf,,,,,,,,,,,,,
1677,"Phthalic acid, di(2,4,4-trimethylpentyl) ester",,C24H38O4,390.6,,91720485,CC(CC(C)(C)C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)CC(C)(C)C,,,,Rahma (RN),Scaphium macropodum,,,,v,,,,,https://iopscience.iop.org/article/10.1088/1755-1315/269/1/012043/pdf,,,,,,,,,,,,,
1678,astragalin,,C21H20O11,448.4,,5282102,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,,,,Rahma (RN),Scaphium macropodum,,,,,,,,,http://www.vjs.ac.vn/index.php/jst/article/view/6597,v,,,,,,,,,,,,
1679,daucosterol,,C35H60O6,576.8,,5742590,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,,,,Rahma (RN),Scaphium macropodum,,,,,,,,,http://www.vjs.ac.vn/index.php/jst/article/view/6597,v,,,,,,,,,,,,
1680,Syringic acid,,C9H10O5,198.17,,10742,COC1=CC(=CC(=C1O)OC)C(=O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1681,gallic acid,,C7H6O5,170.12,,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1682,protocatechuic acid,,C7H6O4,154.12,,72,C1=CC(=C(C=C1C(=O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1683,catechin,,C15H14O6,290.27,,9064,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1684,chlorogenic acid,,C16H18O9,354.31,,1794427,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1685,catechol,,C6H6O2,110.11,,289,C1=CC=C(C(=C1)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1686,epi-catechin,,C15H14O6,290.27,,72276,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1687,p-OH benzoic acid,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1688,caffeic acid,,C9H8O4,180.16,,689043,C1=CC(=C(C=C1C=CC(=O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1689,vanillic acid,,C8H8O4,168.15,,8468,COC1=C(C=CC(=C1)C(=O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1690,p-coumaric acid,,C9H8O3,164.16,,637542,C1=CC(=CC=C1C=CC(=O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1691,ferulic acid,,C10H10O4,194.18,,445858,COC1=C(C=CC(=C1)C=CC(=O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1692,isoferulic acid,,C10H10O4,194.18,,736186,COC1=C(C=C(C=C1)C=CC(=O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1693,reversetrol,,C14H12O3,228.24,,445154,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1694,ellagic acid,,C14H6O8,302.19,,5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1695,oleuropein,,C25H32O13,540.5,,3789874,CC=C1C(C(=COC1OC2C(C(C(C(O2)CO)O)O)O)C(=O)OC)CC(=O)OCCC3=CC(=C(C=C3)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1696,o-coumaric acid,,C9H8O3,164.16,,637540,C1=CC=C(C(=C1)C=CC(=O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1697,salicylic acid,,C7H6O3,138.12,,338,C1=CC=C(C(=C1)C(=O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1698,Luteolin 6-C-beta-glucoside 7-O-beta-glucoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1699,Luteolin 6-C-α-arabinoside-8-C-β-glucoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1700,Apigenin 8-C-β-glucoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1701,Luteolin 6-C-β-glucoside-8-C-α-arabinoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1702,"Apigenin 6, 8-di-C-β-glucoside",,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1703,Apigenin 6-C-α-arabinoside-8-C-β-galactoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1704,Apigenin 6-C-α-rhamnoside-8-C-β-glucoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1705,Apigenin 6-C-β-glucoside-8-C-α-rhamnoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1706,Luteolin 7-O-β-glucoside,,C21H20O11,448.4,,5280637,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1707,Luteolin 7-O-β-glucuronide,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1708,Apigenin 7-O-β-glucopyranoside,,C21H20O10,432.4,,5280704,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1709,Apigenin 7-O-β-glucuronide,,C21H18O11,446.4,,24721579,C1=CC(=CC=C1C2=CC(=O)C3=CC(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1710,Kaempferol 3-O-β- glucopyranoside,,C21H20O11,448.4,,5282102,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1711,"Kaempferol 3-O-β-(4""-p-coumaryl)-glucoside",,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1712,Kaempferol 3-O-β-(p-coumaryl)-glucoside,,,,,,,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1713,luteolin,,C15H10O6,286.24,,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
1714,kaempferol,,C15H10O6,286.24,,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,Rahma (RN),Pterygota alata,,,,,v,,,,https://www.researchgate.net/publication/322195516_Pterygota_alata_Roxb_R_Br_Chemical_constituents_anti-hyperglycemic_effect_and_anti-oxidative_stress_in_alloxan-induced_diabetic_rats,,,,,,,,,,,,,
